tangent_height_km,R_lin,G_lin,B_lin
22.6614,2.132972e-01,2.908193e-01,5.067734e-01
22.7202,2.150490e-01,2.927825e-01,5.098684e-01
22.7789,2.168225e-01,2.947581e-01,5.129540e-01
22.8376,2.186250e-01,2.967499e-01,5.160249e-01
22.8963,2.204522e-01,2.987553e-01,5.190809e-01
22.9550,2.223088e-01,3.007765e-01,5.221160e-01
23.0137,2.241990e-01,3.028152e-01,5.251249e-01
23.0724,2.261305e-01,3.048755e-01,5.281015e-01
23.1311,2.280780e-01,3.069451e-01,5.310754e-01
23.1898,2.300393e-01,3.090228e-01,5.340463e-01
23.2485,2.320147e-01,3.111085e-01,5.370139e-01
23.3072,2.340046e-01,3.132023e-01,5.399775e-01
23.3659,2.360140e-01,3.153070e-01,5.429349e-01
23.4247,2.380379e-01,3.174195e-01,5.458868e-01
23.4834,2.400763e-01,3.195397e-01,5.488328e-01
23.5421,2.421294e-01,3.216677e-01,5.517721e-01
23.6008,2.442001e-01,3.238047e-01,5.547024e-01
23.6595,2.462888e-01,3.259506e-01,5.576222e-01
23.7182,2.483925e-01,3.281038e-01,5.605319e-01
23.7769,2.505116e-01,3.302640e-01,5.634304e-01
23.8356,2.526459e-01,3.324311e-01,5.663163e-01
23.8943,2.548015e-01,3.346069e-01,5.691812e-01
23.9530,2.569730e-01,3.367878e-01,5.720238e-01
24.0117,2.591600e-01,3.389720e-01,5.748369e-01
24.0705,2.613629e-01,3.411601e-01,5.776228e-01
24.1292,2.635849e-01,3.433586e-01,5.804005e-01
24.1879,2.658284e-01,3.455689e-01,5.831713e-01
24.2466,2.680895e-01,3.477890e-01,5.859360e-01
24.3053,2.703685e-01,3.500189e-01,5.886943e-01
24.3640,2.726657e-01,3.522588e-01,5.914454e-01
24.4227,2.749877e-01,3.545119e-01,5.941863e-01
24.4814,2.773305e-01,3.567762e-01,5.969177e-01
24.5401,2.796935e-01,3.590511e-01,5.996394e-01
24.5988,2.820771e-01,3.613368e-01,6.023508e-01
24.6575,2.844841e-01,3.636346e-01,6.050496e-01
24.7162,2.869206e-01,3.659475e-01,6.077315e-01
24.7750,2.893817e-01,3.682729e-01,6.103982e-01
24.8337,2.918689e-01,3.706114e-01,6.130477e-01
24.8924,2.943845e-01,3.729641e-01,6.156777e-01
24.9511,2.969426e-01,3.753377e-01,6.182755e-01
25.0098,2.995592e-01,3.777397e-01,6.208224e-01
25.0685,3.022082e-01,3.801575e-01,6.233451e-01
25.1272,3.048778e-01,3.825852e-01,6.258561e-01
25.1859,3.075600e-01,3.850191e-01,6.283643e-01
25.2446,3.102581e-01,3.874605e-01,6.308686e-01
25.3033,3.129679e-01,3.899074e-01,6.333696e-01
25.3620,3.156891e-01,3.923595e-01,6.358671e-01
25.4207,3.184218e-01,3.948168e-01,6.383611e-01
25.4795,3.211682e-01,3.972803e-01,6.408505e-01
25.5382,3.239275e-01,3.997493e-01,6.433350e-01
25.5969,3.266977e-01,4.022229e-01,6.458152e-01
25.6556,3.294786e-01,4.047009e-01,6.482908e-01
25.7143,3.322700e-01,4.071833e-01,6.507618e-01
25.7730,3.350758e-01,4.096712e-01,6.532256e-01
25.8317,3.378916e-01,4.121630e-01,6.556841e-01
25.8904,3.407173e-01,4.146583e-01,6.581370e-01
25.9491,3.435526e-01,4.171569e-01,6.605839e-01
26.0078,3.463990e-01,4.196594e-01,6.630238e-01
26.0665,3.492564e-01,4.221652e-01,6.654556e-01
26.1252,3.521227e-01,4.246737e-01,6.678805e-01
26.1840,3.549975e-01,4.271845e-01,6.702983e-01
26.2427,3.578806e-01,4.296974e-01,6.727087e-01
26.3014,3.607745e-01,4.322128e-01,6.751086e-01
26.3601,3.636763e-01,4.347296e-01,6.774998e-01
26.4188,3.665853e-01,4.372474e-01,6.798823e-01
26.4775,3.695013e-01,4.397661e-01,6.822558e-01
26.5362,3.724245e-01,4.422853e-01,6.846187e-01
26.5949,3.753554e-01,4.448044e-01,6.869689e-01
26.6536,3.782917e-01,4.473230e-01,6.893085e-01
26.7123,3.812332e-01,4.498407e-01,6.916372e-01
26.7710,3.841793e-01,4.523572e-01,6.939543e-01
26.8297,3.871306e-01,4.548712e-01,6.962557e-01
26.8885,3.900853e-01,4.573824e-01,6.985428e-01
26.9472,3.930425e-01,4.598903e-01,7.008160e-01
27.0059,3.960016e-01,4.623943e-01,7.030748e-01
27.0646,3.989618e-01,4.648936e-01,7.053171e-01
27.1233,4.019217e-01,4.673853e-01,7.075372e-01
27.1820,4.048798e-01,4.698699e-01,7.097389e-01
27.2407,4.078349e-01,4.723462e-01,7.119208e-01
27.2994,4.107854e-01,4.748129e-01,7.140810e-01
27.3581,4.137269e-01,4.772645e-01,7.162107e-01
27.4168,4.166538e-01,4.796964e-01,7.183048e-01
27.4755,4.195543e-01,4.820985e-01,7.203517e-01
